id,num_events,total_count,tx_fatal,tx_event,time,students,took_damage,Q5_2_aUsedForBefore4,QII_1Province,elementary,high_school,school_levels
2138,0,0,0,0,post,75,0,NA,19,1,1,2
2424,0,0,0,0,post,170,0,NA,24,1,1,2
667,160,2535,1,1,post,325,0,NA,2,0,1,1
1569,0,0,0,0,post,246,0,NA,16,1,1,2
926,0,0,0,0,post,240,1,Armed Groups,3,1,1,2
1807,0,0,0,0,post,357,0,NA,19,1,1,2
4790,0,0,0,0,post,62,1,NA,21,1,0,1
4581,5,13,1,1,post,212,0,NA,29,1,0,1
4582,5,13,1,1,post,254,0,NA,29,1,0,1
1155,0,0,0,0,post,266,1,NA,15,1,1,2
4218,0,0,0,0,post,160,0,NA,25,0,1,1
4235,0,0,0,0,post,102,0,NA,25,1,0,1
4441,1,0,0,1,post,673,0,NA,2,1,0,1
2406,0,0,0,0,post,122,0,NA,24,0,1,1
3883,0,0,0,0,post,159,0,NA,20,1,0,1
460,34,155,1,1,post,391,1,NA,13,1,0,1
131,160,2535,1,1,post,115,1,NA,2,1,0,1
1505,0,0,0,0,post,532,0,NA,16,1,1,2
4798,0,0,0,0,post,43,0,NA,21,1,0,1
2546,0,0,0,0,post,110,0,NA,24,1,1,2
1968,0,0,0,0,post,68,0,NA,19,1,1,2
1629,1,0,0,1,post,464,1,NA,16,1,1,2
2133,0,0,0,0,post,311,1,NA,19,1,1,2
198,160,2535,1,1,post,670,0,NA,2,1,0,1
4171,0,0,0,0,post,103,0,NA,28,1,1,2
3408,0,0,0,0,post,91,0,NA,1,1,0,1
178,160,2535,1,1,post,497,0,NA,2,0,1,1
39,0,0,0,0,post,621,0,NA,2,1,1,2
76,160,2535,1,1,post,155,0,NA,2,1,0,1
145,160,2535,1,1,post,427,0,NA,2,1,0,1
727,2,10,1,1,post,427,0,Armed Groups,13,1,1,2
4098,0,0,0,0,post,228,0,NA,25,1,0,1
3374,30,133,1,1,post,273,1,NA,30,1,1,2
4393,0,0,0,0,post,265,1,NA,1,1,1,2
93,160,2535,1,1,post,459,0,NA,2,1,0,1
85,160,2535,1,1,post,788,0,NA,2,1,0,1
157,1,0,0,1,post,755,0,NA,2,1,0,1
3412,0,0,0,0,post,103,0,NA,1,1,0,1
2622,0,0,0,0,post,151,0,NA,24,1,1,2
4072,0,0,0,0,post,108,0,NA,25,0,1,1
2137,0,0,0,0,post,14,0,NA,19,1,1,2
1259,1,0,0,1,post,108,0,NA,15,1,1,2
151,3,4,1,1,post,1055,0,NA,2,1,1,2
830,0,0,0,0,post,520,1,NA,3,1,1,2
4241,0,0,0,0,post,113,1,NA,28,1,1,2
813,0,0,0,0,post,225,0,NA,3,1,1,2
187,4,0,0,1,post,265,0,NA,2,1,0,1
1151,0,0,0,0,post,107,1,NA,15,1,1,2
3332,30,133,1,1,post,536,1,Armed Groups,30,1,1,2
3336,30,133,1,1,post,569,1,Armed Groups,30,1,1,2
3288,0,0,0,0,post,494,1,NA,30,1,1,2
3303,0,0,0,0,post,66,1,NA,30,1,1,2
3357,0,0,0,0,post,11,1,Armed Groups,30,1,1,2
3315,0,0,0,0,post,51,1,NA,30,1,1,2
3312,0,0,0,0,post,209,1,NA,30,1,1,2
3324,0,0,0,0,post,160,1,NA,30,1,1,2
3317,0,0,0,0,post,128,1,NA,30,1,1,2
205,1,0,0,1,post,211,1,NA,2,1,1,2
1401,0,0,0,0,post,211,1,NA,17,1,1,2
4081,0,0,0,0,post,667,1,Armed Groups,25,1,1,2
150,160,2535,1,1,post,208,0,NA,2,1,1,2
2732,0,0,0,0,post,627,0,NA,31,1,1,2
686,1,0,0,1,post,109,0,NA,2,1,1,2
285,0,0,0,0,post,1172,0,NA,2,1,1,2
901,0,0,0,0,post,236,0,NA,3,1,1,2
5112,0,0,0,0,post,71,0,Armed Groups,2,1,1,2
3403,0,0,0,0,post,235,0,NA,1,1,1,2
707,0,0,0,0,post,484,0,NA,13,1,1,2
1157,0,0,0,0,post,80,0,NA,15,1,1,2
1291,0,0,0,0,post,80,0,NA,15,1,1,2
4434,0,0,0,0,post,8,0,NA,31,1,1,2
5067,0,0,0,0,post,22,0,NA,31,1,1,2
2541,0,0,0,0,post,30,0,NA,24,1,1,2
1874,0,0,0,0,post,35,0,NA,19,1,1,2
3188,0,0,0,0,post,34,0,NA,28,1,1,2
4948,0,0,0,0,post,50,0,NA,21,1,1,2
2417,0,0,0,0,post,40,0,NA,24,1,1,2
1094,0,0,0,0,post,30,1,NA,2,1,1,2
3185,0,0,0,0,post,42,0,NA,28,1,1,2
305,0,0,0,0,post,54,1,NA,2,1,1,2
4811,0,0,0,0,post,43,1,NA,23,1,1,2
3607,0,0,0,0,post,44,1,NA,1,1,1,2
4206,0,0,0,0,post,45,0,NA,25,1,1,2
4410,0,0,0,0,post,45,0,NA,1,1,1,2
1281,1,0,0,1,post,40,1,NA,15,1,1,2
63,0,0,0,0,post,48,0,NA,2,1,1,2
2108,3,3,1,1,post,132,1,NA,19,1,1,2
4041,0,0,0,0,post,48,0,NA,25,1,1,2
4405,0,0,0,0,post,54,0,NA,1,1,1,2
